40032;ABSORVENTE ALWAYS NORMAL PINK SUAVE C/ABAS C/8 ;UN;6.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6266;ABSORVENTE ALWAYS NOTURNO ACTIVE SECA C/ABAS C/8 ;UN;7.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;48.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6266;ABSORVENTE ALWAYS NOTURNO ACTIVE SECA C/ABAS C/8 ;UN;7.49;3.99;2017-05-18 00:00:00.000;2017-05-23 00:00:00.000;48.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6267;ABSORVENTE ALWAYS NOTURNO ULTRAFINO C/ABAS C/8;UN;9.98;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
18408;ABSORVENTE CAREFREE C/40 FLEXI S/PERFUME;UN;11.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;24.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
40642;ABSORVENTE CAREFREE C/40 ORIGINAL C/PERFUME;UN;11.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;25.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
3778;ABSORVENTE CAREFREE ORIGINAL C/PERFUME C/15 ;UN;5.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;36.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6274;ABSORVENTE CAREFREE PROTECAO S/PERFUME C/15;UN;5.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;35.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6271;ABSORVENTE CAREFREE TODODIA S/PERFUME C/15;UN;5.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;36.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
18877;ABSORVENTE DELUXE NORMAL C/8 SUAVE C/ABAS;UN;2.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;1.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
18879;ABSORVENTE DELUXE NORMAL L16P14 SUAVE C/ABAS;UN;5.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
18878;ABSORVENTE DELUXE TEEN NORMAL C/8 SUAVE C/ABAS;UN;2.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
18880;ABSORVENTE DELUXE TEEN NORMAL L16P14 SUAVE C/ABAS;UN;5.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
39590;ABSORVENTE GERIATRICO BIOFRAL MAXI C/20;UN;19.98;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;1.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
24124;ABSORVENTE GERIATRICO DRY ECONOMICS C/20;UN;13.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;7.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
14393;ABSORVENTE INTIMUS DAYS EXTRA PROTECAO C/15;UN;6.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;73.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
37191;ABSORVENTE INTIMUS DAYS PROT DIARIO C/40 C/PERFUME;UN;9.98;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
10356;ABSORVENTE INTIMUS DAYS PROT DIARIO C/80 C/PERFUME;UN;21.98;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;1.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
15217;ABSORVENTE INTIMUS DAYS PROTETOR L80P60 ULTRA FLEX;UN;19.98;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
20684;ABSORVENTE INTIMUS DAYS S/AB C/15 C/PERFUME;UN;5.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;24.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
22568;ABSORVENTE INTIMUS DAYS S/PER C/15;UN;5.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;24.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
29354;ABSORVENTE INTIMUS EVOLUTION NOTURNO C/8;UN;5.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
29466;ABSORVENTE INTIMUS EVOLUTION ULTRA FLEXIVEL C/18;UN;4.59;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
24581;ABSORVENTE INTIMUS GEL C/AB C/16 COB.SECA;UN;7.99;4.69;2019-11-07 00:00:00.000;2019-11-12 23:59:59.000;149.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
24582;ABSORVENTE INTIMUS GEL C/ABAS C/16 COB.SUAVE;UN;7.99;4.69;2019-11-07 00:00:00.000;2019-11-12 23:59:59.000;130.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
20112;ABSORVENTE INTIMUS GEL INTENSE SUAVE C/ABAS C/8 ;UN;3.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6284;ABSORVENTE INTIMUS GEL INTERNO MEDIO C/8 ;UN;7.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;26.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6285;ABSORVENTE INTIMUS GEL INTERNO MINI C/8 ;UN;8.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;15.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6286;ABSORVENTE INTIMUS GEL INTERNO SUPER C/8;UN;7.99;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;24.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
6287;ABSORVENTE INTIMUS GEL NORMAL SECA C/ABAS C/8;UN;3.99;2.99;2019-05-30 00:00:00.000;2019-06-04 23:59:59.000;146.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
4784;ABSORVENTE INTIMUS GEL NORMAL SECA S/ABAS C/8;UN;4.49;0.00;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;91.000;12.08.01;ABSORVENTE/PROTETOR DIARIO                                                                          
